id_str,created_at,full_text,lang,retweet_count,favorite_count,entities,in_reply_to_screen_name,in_reply_to_user_id_str,in_reply_to_user_id_str,source,user.id_str,user.name,user.screen_name,user.description,user.location,user.followers_count,user.friends_count
1366207477356711940,2021-03-01 02:03:40,"3. Yes, PLEASE GET VACCINATED AGAINST COVID. Very important.
But it is also a basic human right to have freedom of choice and freedom of information. Both are violated if you force poor vaccine and only that one.",en,0,3,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",ek_phwriter,1366204018528198658,792915282620657664,Twitter for Android,792915282620657664,xxxxx,xxxxx,xxxxx,National Capital Region,533,197
1366207448994828289,2021-03-01 02:03:33,RT @PhilstarNews: @gaeacabico UP-PGH Director Gap Legaspi receives the first COVID-19 shot in the country. He was vaccinated with the vacci…,en,6,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PhilstarNews', 'name': 'Philstar.com', 'id': 55118669, 'id_str': '55118669', 'indices': [3, 16]}, {'screen_name': 'gaeacabico', 'name': 'Gaea Cabico', 'id': 3458257873, 'id_str': '3458257873', 'indices': [18, 29]}], 'urls': []}",,,,Twitter Web App,90901019,xxxxx,xxxxx,xxxxx,manila,80,2143
1366207429453651968,2021-03-01 02:03:28,RT @argyllcyrus_MB: LOOK: PH rolls out COVID-19 vaccine with the CoronaVac. First to receive the vaccine is PGH Director Director Gerardo D…,en,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'argyllcyrus_MB', 'name': 'Argyll Cyrus ✪', 'id': 3283079864, 'id_str': '3283079864', 'indices': [3, 18]}], 'urls': []}",,,,Twitter for Android,3868618693,xxxxx,xxxxx,xxxxx,,401,57
1366207401859317760,2021-03-01 02:03:22,"RT @cnnphilippines: LOOK: PGH Director Dr. Gap Legaspi is first Filipino to get the official vaccine shot from Sinovac, as the Philippines…",en,19,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'cnnphilippines', 'name': 'CNN Philippines', 'id': 2811559122, 'id_str': '2811559122', 'indices': [3, 18]}], 'urls': []}",,,,Twitter for Android,1315557634364170246,xxxxx,xxxxx,xxxxx,,322,282
1366207325657202691,2021-03-01 02:03:03,RT @ANCALERTS: @kristinesabillo READ: PGH head receives first ever COVID-19 vaccine jab in PH #COVID19VaccinePH https://t.co/DPpvg5OuMd,en,1,0,"{'hashtags': [{'text': 'COVID19VaccinePH', 'indices': [94, 111]}], 'symbols': [], 'user_mentions': [{'screen_name': 'ANCALERTS', 'name': 'ABS-CBN News Channel', 'id': 44728980, 'id_str': '44728980', 'indices': [3, 13]}, {'screen_name': 'kristinesabillo', 'name': 'Kristine Sabillo 🇵🇭', 'id': 2710893258, 'id_str': '2710893258', 'indices': [15, 31]}], 'urls': [{'url': 'https://t.co/DPpvg5OuMd', 'expanded_url': 'https://bit.ly/3q2Aydj', 'display_url': 'bit.ly/3q2Aydj', 'indices': [112, 135]}]}",,,,Twitter for Android,1325785017612603392,xxxxx,xxxxx,xxxxx,Earth,117,456
1366207291725283328,2021-03-01 02:02:55,"@Lois_Calderon More officials roll up their sleeves and get a Sinovac shot here at PGH | @Lois_Calderon 

Read the story: https://t.co/irO7aN6aZF https://t.co/6d9lU0eYCi",en,0,11,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lois_Calderon', 'name': 'Lois Calderon', 'id': 420923775, 'id_str': '420923775', 'indices': [0, 14]}, {'screen_name': 'Lois_Calderon', 'name': 'Lois Calderon', 'id': 420923775, 'id_str': '420923775', 'indices': [89, 103]}], 'urls': [{'url': 'https://t.co/irO7aN6aZF', 'expanded_url': 'http://bit.ly/3sAAQcT', 'display_url': 'bit.ly/3sAAQcT', 'indices': [122, 145]}], 'media': [{'id': 1366207196082528256, 'id_str': '1366207196082528256', 'indices': [146, 169], 'media_url': 'http://pbs.twimg.com/media/EvW-NNQU4AAi6Gr.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EvW-NNQU4AAi6Gr.jpg', 'url': 'https://t.co/6d9lU0eYCi', 'display_url': 'pic.twitter.com/6d9lU0eYCi', 'expanded_url': 'https://twitter.com/cnnphilippines/status/1366207291725283328/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1536, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 510, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 900, 'resize': 'fit'}}}]}",cnnphilippines,1366204747057831936,2811559122,TweetDeck,2811559122,xxxxx,xxxxx,xxxxx,Philippines,1193082,392
1366207271307407360,2021-03-01 02:02:51,RT @PhilippineStar: The 75-year-old President Duterte stressed he himself would comply with his doctor's advice with regard to the COVID-19…,en,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PhilippineStar', 'name': 'The Philippine Star', 'id': 472122299, 'id_str': '472122299', 'indices': [3, 18]}], 'urls': []}",,,,Twitter for Android,1325785017612603392,xxxxx,xxxxx,xxxxx,Earth,117,456
1366207252764393472,2021-03-01 02:02:46,"RT @rapplerdotcom: Governor Jonvic Remulla announces free vaccination for Caviteños, adding that the provincial government is in talks with…",en,165,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rapplerdotcom', 'name': 'Rappler', 'id': 330826792, 'id_str': '330826792', 'indices': [3, 17]}], 'urls': []}",,,,Twitter Web App,1134476614631211008,xxxxx,xxxxx,xxxxx,Earth,219,459
1366207243583066112,2021-03-01 02:02:44,RT @dwiz882: TIGNAN: Testing Czar Sec. Vince Dizon nagpabakuna na rin gamit ang COVID-19 vaccine na Sinovac sa Tala Hospital https://t.co/x…,tl,1,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dwiz882', 'name': 'DWIZ Newscenter', 'id': 173533146, 'id_str': '173533146', 'indices': [3, 11]}], 'urls': []}",,,,Twitter Web App,466173407,xxxxx,xxxxx,xxxxx,"Regina, Saskatchewan",790,626
1366207209185550339,2021-03-01 02:02:36,"RT @rapplerdotcom: AT A GLANCE. Here’s a look at all the COVID-19 vaccines being eyed by the Philippine government, along with the latest u…",en,20,0,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rapplerdotcom', 'name': 'Rappler', 'id': 330826792, 'id_str': '330826792', 'indices': [3, 17]}], 'urls': []}",,,,Twitter for iPad,3189646350,xxxxx,xxxxx,xxxxx,,129,195
